epoch,loss,train_accuracy,val_accuracy
1,1.472139449223228,0.59804,0.5911
2,1.0273272509465132,0.6493,0.633
3,0.8902851939201355,0.67624,0.6532
4,0.8082415200865177,0.75622,0.7188
5,0.7461024181312307,0.76498,0.7267
