epoch,loss,train_accuracy,val_accuracy
1,1.8517501186531828,0.38188,0.3874
2,1.3161289812353871,0.55044,0.5384
3,1.0193925661504115,0.64584,0.6341
4,0.8631199564775238,0.73932,0.717
5,0.741306575515386,0.76544,0.7317
6,0.6628862841202475,0.81424,0.7718
7,0.5951147360722427,0.8238,0.7656
8,0.543062866191425,0.78888,0.7352
9,0.5021146182209024,0.84066,0.7789
10,0.46411716922774643,0.839,0.769
11,0.4372849905734782,0.84988,0.7757
12,0.41169183821324495,0.86992,0.7833
13,0.38577180064242816,0.87962,0.791
14,0.35574671911918904,0.90416,0.8031
15,0.34713974221588095,0.89182,0.7914
16,0.3273549523881024,0.9107,0.799
17,0.31647561242818223,0.90178,0.7958
18,0.3061144159120672,0.90034,0.7904
19,0.2959149920231546,0.92138,0.8119
20,0.28807703115979727,0.9124,0.802
