epoch,loss,train_accuracy,val_accuracy
1,1.9630078964526085,0.32542,0.3309
2,1.5442311275950478,0.46476,0.4561
3,1.2777552022348584,0.58748,0.574
4,1.0817020739740728,0.63756,0.6248
5,0.9322731316546955,0.69186,0.6625
6,0.8456556947944719,0.714,0.6849
7,0.765557860931777,0.74762,0.7067
8,0.7111767624955043,0.76356,0.7115
9,0.662294805812104,0.7907,0.7303
10,0.6340666843192352,0.8025,0.7352
11,0.5823745646745043,0.79352,0.7294
12,0.55724586245349,0.83194,0.7457
13,0.5224825159058242,0.84026,0.7473
14,0.4967392891111886,0.84242,0.7376
15,0.465396687769524,0.86592,0.7602
16,0.43976342114036343,0.8637,0.7534
17,0.426455123993137,0.87912,0.7633
18,0.4072751671533146,0.88646,0.76
19,0.3782005152281593,0.89082,0.767
20,0.3670960582240158,0.87564,0.7483
