epoch,loss,train_accuracy,val_accuracy
1,1.206557942168487,0.68686,0.663
2,0.7728205815605496,0.76668,0.7273
3,0.6184793598664081,0.7851,0.7298
4,0.5149055339033951,0.83222,0.7633
5,0.43892427825409436,0.8728,0.7902
6,0.373571192707552,0.90362,0.8016
7,0.32245434138476087,0.9003,0.7925
8,0.280102114085956,0.87552,0.757
9,0.24007041222604034,0.93794,0.8108
10,0.20693015818819976,0.939,0.8056
11,0.18288410757966053,0.95542,0.8105
12,0.16441866986529755,0.93998,0.7954
13,0.14260826013086703,0.94394,0.7963
14,0.1308589908425384,0.9651,0.8033
15,0.12158360280325194,0.96576,0.8121
16,0.11380358021753981,0.94904,0.7996
17,0.10823415240744495,0.95796,0.8032
18,0.09904322841340471,0.97082,0.8176
19,0.0974481799580214,0.96154,0.8121
20,0.09298746108465716,0.96024,0.7965
