epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.1915630088455376,0.16224,0.2434
2,0.00032,1.835264770920706,0.29906,0.3746
3,0.00048000000000000007,1.6101811329523723,0.40656,0.4349
4,0.00064,1.4174394785672768,0.4927,0.5158
5,0.0008,1.243967670133744,0.55748,0.5515
6,0.0008,1.0406898552430544,0.63398,0.6676
7,0.0007990256201039298,0.967116292865797,0.66164,0.6789
8,0.0007961072274966282,0.9122055951662904,0.6815,0.6441
9,0.0007912590402935223,0.8714404261431932,0.7001,0.6789
10,0.0007845046783753276,0.8272904726280563,0.71748,0.7128
11,0.0007758770483143634,0.7946164557760246,0.72916,0.7534
12,0.0007654181830570404,0.7566857041070287,0.74296,0.7082
13,0.0007531790371435709,0.7277327527031587,0.75442,0.7285
14,0.0007392192384625704,0.7022981175517671,0.76572,0.7311
15,0.000723606797749979,0.6737830556672195,0.77402,0.7392
16,0.0007064177772475912,0.6521192610948935,0.78142,0.7222
17,0.0006877359201354604,0.6271921411099561,0.78994,0.7792
18,0.0006676522425435433,0.6109979693917023,0.79446,0.7594
19,0.0006462645901302633,0.5837684456416017,0.80356,0.7874
20,0.0006236771613882988,0.5653420168321251,0.8115,0.7652
21,0.0006000000000000001,0.5470646835606674,0.8172,0.7872
22,0.000575348458715631,0.5281636126881815,0.8244,0.8019
23,0.0005498426373663649,0.5070986048928623,0.82988,0.8121
24,0.0005236067977499791,0.49125297430374615,0.83686,0.7967
25,0.000496768758239867,0.474417714095207,0.84348,0.8153
26,0.00046945927106677225,0.4581058504937709,0.84878,0.8309
27,0.00044181138530706145,0.45285291941229866,0.84882,0.8353
28,0.0004139597986810005,0.4292106430877671,0.85776,0.8106
29,0.00038604020131899976,0.41086552494787165,0.86368,0.8462
30,0.0003581886146929387,0.39604912144470944,0.86888,0.8541
31,0.0003305407289332279,0.3828519724337991,0.87432,0.8491
32,0.00030323124176013296,0.36831653717605545,0.87766,0.8556
33,0.0002763932022500211,0.3490222521211909,0.88564,0.8521
34,0.0002501573626336352,0.3382773800713806,0.8896,0.8517
35,0.000224651541284369,0.32924683466268223,0.89128,0.8544
36,0.0002000000000000001,0.308042597439554,0.8978,0.8678
37,0.00017632283861170135,0.297868891408617,0.90208,0.8735
38,0.00015373540986973668,0.2814976191612039,0.90786,0.8695
39,0.00013234775745645685,0.2703743934973903,0.91078,0.8726
40,0.00011226407986453962,0.258543832206178,0.91462,0.8768
41,9.358222275240884e-05,0.2502274495545932,0.9188,0.8754
42,7.639320225002106e-05,0.23384279149702225,0.9244,0.879
43,6.078076153742962e-05,0.22566583881090427,0.92602,0.8835
44,4.6820962856429206e-05,0.219510059275618,0.92808,0.8836
45,3.458181694295961e-05,0.20929616515549662,0.93236,0.8834
46,2.4122951685636676e-05,0.209402558875495,0.93196,0.8873
47,1.5495321624672444e-05,0.20752038578306578,0.93296,0.8891
48,8.740959706477726e-06,0.19849421840403728,0.93594,0.8883
49,3.892772503371855e-06,0.19687691336618987,0.93522,0.8876
50,9.74379896070321e-07,0.19611540368233604,0.93614,0.8882
