epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.2557739206657557,0.14306,0.2234
2,0.00032,1.9211060507544155,0.26312,0.3444
3,0.00048000000000000007,1.6685858425966167,0.38482,0.4576
4,0.00064,1.4668288737878032,0.47566,0.5487
5,0.0008,1.2869947189572213,0.54636,0.5502
6,0.0008,1.1102023339362894,0.60832,0.6318
7,0.0007990256201039298,1.0429814681696252,0.63666,0.5987
8,0.0007961072274966282,1.0062061888504759,0.64728,0.6346
9,0.0007912590402935223,0.9812036816644486,0.66156,0.6178
10,0.0007845046783753276,0.9443285303097575,0.67846,0.6242
11,0.0007758770483143634,0.9170753154261359,0.68992,0.6102
12,0.0007654181830570404,0.8905665904169339,0.70152,0.5905
13,0.0007531790371435709,0.8548540109875559,0.71288,0.6193
14,0.0007392192384625704,0.8314140402494262,0.72404,0.7048
15,0.000723606797749979,0.7987581658180646,0.73428,0.7284
16,0.0007064177772475912,0.7820144633680468,0.74114,0.7174
17,0.0006877359201354604,0.7582111669226168,0.74896,0.7065
18,0.0006676522425435433,0.7343537743520919,0.76016,0.7299
19,0.0006462645901302633,0.7075901316956998,0.76844,0.6423
20,0.0006236771613882988,0.6891292806329399,0.7741,0.6654
21,0.0006000000000000001,0.6740640343605787,0.77968,0.7495
22,0.000575348458715631,0.6513184122883954,0.78894,0.748
23,0.0005498426373663649,0.6345423735192909,0.79286,0.7569
24,0.0005236067977499791,0.6185634202427335,0.79846,0.7401
25,0.000496768758239867,0.5913455340140624,0.80836,0.773
26,0.00046945927106677225,0.5774899252986543,0.81254,0.8105
27,0.00044181138530706145,0.5598782110259908,0.81834,0.7379
28,0.0004139597986810005,0.5483211639740458,0.82136,0.7907
29,0.00038604020131899976,0.5335375455375833,0.82778,0.7953
30,0.0003581886146929387,0.5118282953441371,0.83502,0.8222
31,0.0003305407289332279,0.49173573778506896,0.84258,0.8254
32,0.00030323124176013296,0.48187035173748644,0.84344,0.8305
33,0.0002763932022500211,0.4538324603175752,0.85454,0.8338
34,0.0002501573626336352,0.4389966347208425,0.85964,0.8342
35,0.000224651541284369,0.4275927065204386,0.86336,0.8445
36,0.0002000000000000001,0.4021082470243461,0.87214,0.8358
37,0.00017632283861170135,0.38508468169818894,0.87838,0.8528
38,0.00015373540986973668,0.37564032510551,0.88236,0.8585
39,0.00013234775745645685,0.35608945216027255,0.88774,0.8578
40,0.00011226407986453962,0.3380488509533506,0.89462,0.8689
41,9.358222275240884e-05,0.3274997678296319,0.89852,0.8716
42,7.639320225002106e-05,0.3087584913576243,0.90504,0.8755
43,6.078076153742962e-05,0.2974977339707115,0.90902,0.8766
44,4.6820962856429206e-05,0.28669428066047214,0.91256,0.8792
45,3.458181694295961e-05,0.2727652582058048,0.91664,0.8791
46,2.4122951685636676e-05,0.2615853368779252,0.9199,0.8845
47,1.5495321624672444e-05,0.2571177997009051,0.92162,0.8848
48,8.740959706477726e-06,0.2530442975261659,0.92364,0.8872
49,3.892772503371855e-06,0.24915478552666662,0.92472,0.8866
50,9.74379896070321e-07,0.24544247727969598,0.92682,0.887
