epoch,loss,train_accuracy,test_accuracy,learning_rate,use_bn
1,1.7402189193557505,0.38028,0.5013,0.0001,False
2,1.4104348781921854,0.4941,0.5646,0.0001,False
3,1.261953090799266,0.55366,0.6156,0.0001,False
4,1.1595664259574423,0.59366,0.6455,0.0001,False
5,1.0777921553315788,0.62156,0.6688,0.0001,False
6,1.0006531486109298,0.64896,0.6735,0.0001,False
7,0.9479466820585316,0.6688,0.6968,0.0001,False
8,0.8978750226141392,0.68678,0.7194,0.0001,False
9,0.8578897520500125,0.70088,0.7194,0.0001,False
10,0.8192669915970258,0.71502,0.7262,0.0001,False
11,0.7791272858550266,0.72872,0.7425,0.0001,False
12,0.7444178505418858,0.74222,0.7432,0.0001,False
13,0.7190861870959344,0.7502,0.7636,0.0001,False
14,0.6990056528898948,0.75546,0.7638,0.0001,False
15,0.666002208017298,0.76712,0.7726,0.0001,False
16,0.6361354471851582,0.7771,0.7668,0.0001,False
17,0.6231444979307752,0.78314,0.7758,0.0001,False
18,0.5927970150193035,0.79346,0.7795,0.0001,False
19,0.5732931423918041,0.79952,0.7663,0.0001,False
20,0.5533806245445748,0.80596,0.7786,0.0001,False
