epoch,loss,train_accuracy,test_accuracy,learning_rate,use_bn
1,1.5586869661835419,0.4305,0.5839,0.001,True
2,1.0136855116749175,0.63986,0.6968,0.001,True
3,0.8154206862851577,0.71534,0.6954,0.001,True
4,0.7026968123355588,0.75646,0.7584,0.001,True
5,0.6312906422377547,0.7825,0.7719,0.001,True
6,0.57301307649448,0.8025,0.7619,0.001,True
7,0.5260755908443553,0.81932,0.7906,0.001,True
8,0.48848927843159645,0.83074,0.8189,0.001,True
9,0.4518794803327071,0.84308,0.8245,0.001,True
10,0.42779088876713284,0.8535,0.8403,0.001,True
11,0.40009530042779856,0.86438,0.8406,0.001,True
12,0.3737452935670071,0.87104,0.8562,0.001,True
13,0.35575526827139875,0.87666,0.8625,0.001,True
14,0.3329034697735447,0.88658,0.8434,0.001,True
15,0.3172531303774808,0.89166,0.8635,0.001,True
16,0.30025370932858564,0.89708,0.8544,0.001,True
17,0.28351638948551994,0.90174,0.8644,0.001,True
18,0.27298022332776095,0.9069,0.8676,0.001,True
19,0.25209003164507876,0.91304,0.848,0.001,True
20,0.2465605787447586,0.91562,0.8688,0.001,True
