epoch,loss,train_accuracy,test_accuracy,learning_rate,use_bn
1,1.9230131860893804,0.3194,0.4862,0.001,False
2,1.325004982080496,0.52272,0.5995,0.001,False
3,1.10923550480627,0.60934,0.6284,0.001,False
4,0.9666985848854328,0.66264,0.7024,0.001,False
5,0.8764969089935566,0.69324,0.7208,0.001,False
6,0.8077813660961458,0.7213,0.7302,0.001,False
7,0.756290177047481,0.7395,0.748,0.001,False
8,0.709194077842537,0.7534,0.7676,0.001,False
9,0.680058354961461,0.76542,0.7654,0.001,False
10,0.643639933446358,0.77952,0.7763,0.001,False
11,0.6127656411622219,0.78964,0.7908,0.001,False
12,0.5939463864569463,0.79582,0.796,0.001,False
13,0.5710026764549971,0.80662,0.8026,0.001,False
14,0.5564817688017513,0.81034,0.8123,0.001,False
15,0.5322228496558822,0.81816,0.8008,0.001,False
16,0.5141142183108348,0.82556,0.8161,0.001,False
17,0.5080021746542261,0.82748,0.8139,0.001,False
18,0.4951185858112642,0.83078,0.8052,0.001,False
19,0.47831877689251956,0.83818,0.8049,0.001,False
20,0.4672293792054114,0.84044,0.8166,0.001,False
