epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.2649459016734155,0.1412,0.2228
2,0.00032,1.911533874113441,0.275,0.3486
3,0.00048000000000000007,1.6726482745788107,0.37556,0.4576
4,0.00064,1.4941315399732626,0.45682,0.4926
5,0.0008,1.31483521452352,0.53612,0.5264
6,0.0008,1.121557699309455,0.60722,0.6419
7,0.0007990256201039298,1.0556136095660857,0.63272,0.6327
8,0.0007961072274966282,0.9996172950185579,0.65028,0.6653
9,0.0007912590402935223,0.9596868652950301,0.6668,0.6811
10,0.0007845046783753276,0.9101908547211424,0.68698,0.6807
11,0.0007758770483143634,0.8709330812267874,0.70304,0.6752
12,0.0007654181830570404,0.8367183717731315,0.71292,0.6787
13,0.0007531790371435709,0.8014176841896613,0.72556,0.7062
14,0.0007392192384625704,0.7637485094454096,0.74068,0.7288
15,0.000723606797749979,0.7315159823702669,0.75278,0.6901
16,0.0007064177772475912,0.7065544151254998,0.76194,0.736
17,0.0006877359201354604,0.6691133136721863,0.77372,0.7704
18,0.0006676522425435433,0.6513688365618387,0.77976,0.7724
19,0.0006462645901302633,0.6145262533220751,0.79012,0.7536
20,0.0006236771613882988,0.5980451893760783,0.79896,0.7741
21,0.0006000000000000001,0.5721661144746217,0.8068,0.7799
22,0.000575348458715631,0.5498138446917479,0.81206,0.796
23,0.0005498426373663649,0.5304666313403411,0.82128,0.8152
24,0.0005236067977499791,0.5036835783514483,0.8299,0.8112
25,0.000496768758239867,0.4836701058793342,0.8364,0.7982
26,0.00046945927106677225,0.46739757506326696,0.84198,0.8187
27,0.00044181138530706145,0.4504670334045001,0.84942,0.8301
28,0.0004139597986810005,0.43543397124242966,0.85162,0.837
29,0.00038604020131899976,0.41849142529955313,0.85738,0.8361
30,0.0003581886146929387,0.39860155156517396,0.86438,0.8225
31,0.0003305407289332279,0.3861730563457898,0.87002,0.8201
32,0.00030323124176013296,0.37212923237647133,0.87354,0.8299
33,0.0002763932022500211,0.3546800034484644,0.87866,0.8382
34,0.0002501573626336352,0.34524069920581874,0.88288,0.854
35,0.000224651541284369,0.3278217662225738,0.88892,0.8527
36,0.0002000000000000001,0.3152999780872316,0.89222,0.8589
37,0.00017632283861170135,0.30591811468089675,0.89606,0.8496
38,0.00015373540986973668,0.29070745203001747,0.90072,0.8572
39,0.00013234775745645685,0.27842149441041253,0.90454,0.8683
40,0.00011226407986453962,0.27139939756000636,0.90694,0.8677
41,9.358222275240884e-05,0.2628387328651216,0.9095,0.8695
42,7.639320225002106e-05,0.25308239699780255,0.91398,0.8709
43,6.078076153742962e-05,0.24709369584746743,0.91676,0.8701
44,4.6820962856429206e-05,0.24353984152448588,0.91646,0.8732
45,3.458181694295961e-05,0.2390043013568582,0.91852,0.8768
46,2.4122951685636676e-05,0.230956279769026,0.92122,0.8733
47,1.5495321624672444e-05,0.2298705054025997,0.92356,0.8731
48,8.740959706477726e-06,0.23119105581351168,0.922,0.875
49,3.892772503371855e-06,0.22386052261081693,0.92452,0.8758
50,9.74379896070321e-07,0.22200929579035988,0.925,0.8774
