epoch,loss,train_accuracy,test_accuracy,learning_rate,use_bn
1,1.4165316781321704,0.49042,0.6271,0.0005,True
2,0.9869321607538567,0.64818,0.7043,0.0005,True
3,0.8193381344221561,0.71312,0.7038,0.0005,True
4,0.7143561212039086,0.7497,0.7639,0.0005,True
5,0.6470425034163099,0.77456,0.7792,0.0005,True
6,0.593880304545735,0.79232,0.7704,0.0005,True
7,0.5495963364953739,0.8095,0.7357,0.0005,True
8,0.5121749412282673,0.82182,0.7924,0.0005,True
9,0.48211420610033234,0.83336,0.8231,0.0005,True
10,0.45071142181126095,0.84378,0.7971,0.0005,True
11,0.43060929268256,0.85062,0.8388,0.0005,True
12,0.4063032754764703,0.86062,0.8525,0.0005,True
13,0.38126628620414443,0.86832,0.8363,0.0005,True
14,0.3670373025753489,0.87334,0.8403,0.0005,True
15,0.3462960820545182,0.88084,0.8539,0.0005,True
16,0.33592389484018204,0.8829,0.8507,0.0005,True
17,0.31239254001913397,0.89062,0.8444,0.0005,True
18,0.3005261146588344,0.89464,0.8558,0.0005,True
19,0.282841806382055,0.90262,0.8285,0.0005,True
20,0.277188239083893,0.90314,0.857,0.0005,True
